timestamp,humidity,temp_humidity,pressure,temp_pressure
2022-12-21T17:28:05.301759Z,38.98358917236328,29.762943267822266,1001.752197265625,28.697917938232422
2022-12-21T17:28:15.965492Z,38.391204833984375,29.89202117919922,1001.745361328125,28.6875
2022-12-21T17:30:03.049729Z,38.28818130493164,29.744503021240234,1001.78662109375,28.614582061767578
2022-12-21T17:30:13.657005Z,39.060855865478516,29.744503021240234,1001.77734375,28.62291717529297
2022-12-21T17:30:24.321951Z,39.37958526611328,29.707624435424805,1001.750244140625,28.585416793823242
2022-12-21T19:06:33.998908Z,36.88127136230469,31.0352840423584,1001.703125,30.108333587646484
2022-12-21T19:11:34.703986Z,36.845855712890625,31.145923614501953,1001.58544921875,30.174999237060547
2022-12-21T19:20:59.982298Z,37.306243896484375,31.238121032714844,1001.5380859375,30.339584350585938
2022-12-22T14:21:59.447099Z,52.26069641113281,26.609752655029297,1002.0283203125,25.368749618530273
2022-12-22T14:22:51.137149Z,51.6361198425293,26.79414939880371,1002.0498046875,25.558332443237305
2022-12-22T14:28:33.660889Z,49.04122543334961,27.660816192626953,1002.27978515625,32.42499923706055
2022-12-22T14:29:55.354792Z,48.6484489440918,27.91897201538086,1002.295654296875,26.741666793823242
2022-12-22T14:38:24.323446Z,47.215782165527344,28.601242065429688,1002.571044921875,27.347915649414062
2022-12-22T14:48:28.161679Z,46.27891540527344,28.8040771484375,1002.69775390625,27.666667938232422
